Unnamed: 0,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,2020-07-07,116899,189,1191.0,3406,4,16.0
2,2020-07-06,116710,723,1560.0,3402,13,19.0
3,2020-07-05,115987,587,1820.0,3389,18,21.0
4,2020-07-04,115400,554,1855.0,3371,16,22.0
5,2020-07-03,114846,1037,2047.0,3355,16,22.0
6,2020-07-02,113809,2545,2293.0,3339,28,23.0
7,2020-07-01,111264,2699,2346.0,3311,16,22.0
8,2020-06-30,108565,2772,2333.0,3295,23,24.0
9,2020-06-29,105793,2547,2295.0,3272,28,24.0
10,2020-06-28,103246,831,2270.0,3244,24,23.0
11,2020-06-27,102415,1899,2281.0,3220,17,23.0
12,2020-06-26,100516,2756,2236.0,3203,22,26.0
13,2020-06-25,97760,2918,2121.0,3181,21,28.0
14,2020-06-24,94842,2608,2003.0,3160,35,28.0
15,2020-06-23,92234,2503,1934.0,3125,18,29.0
16,2020-06-22,89731,2372,1840.0,3107,24,30.0
17,2020-06-21,87359,908,1788.0,3083,26,31.0
18,2020-06-20,86451,1585,1747.0,3057,35,31.0
19,2020-06-19,84866,1953,1687.0,3022,34,29.0
20,2020-06-18,82913,2093,1613.0,2988,26,29.0
21,2020-06-17,80820,2124,1521.0,2962,38,29.0
22,2020-06-16,78696,1848,1443.0,2924,24,27.0
23,2020-06-15,76848,2004,1393.0,2900,32,29.0
24,2020-06-14,74844,621,1353.0,2868,27,29.0
25,2020-06-13,74223,1167,1342.0,2841,24,30.0
26,2020-06-12,73056,1434,1335.0,2817,31,32.0
27,2020-06-11,71622,1451,1339.0,2786,25,32.0
28,2020-06-10,70171,1574,1376.0,2761,27,35.0
29,2020-06-09,68597,1498,1354.0,2734,35,38.0
30,2020-06-08,67099,1724,1347.0,2699,35,37.0
31,2020-06-07,65375,547,1252.0,2664,35,36.0
32,2020-06-06,64828,1114,1229.0,2629,34,36.0
33,2020-06-05,63714,1466,1202.0,2595,36,36.0
34,2020-06-04,62248,1711,1204.0,2559,44,36.0
35,2020-06-03,60537,1417,1179.0,2515,44,34.0
36,2020-06-02,59120,1449,1179.0,2471,28,34.0
37,2020-06-01,57671,1057,1217.0,2443,34,36.0
38,2020-05-31,56614,391,1131.0,2409,30,35.0
39,2020-05-30,56223,925,1118.0,2379,37,36.0
40,2020-05-29,55298,1476,1072.0,2342,33,36.0
41,2020-05-28,53822,1535,978.0,2309,32,37.0
42,2020-05-27,52287,1419,887.0,2277,45,36.0
43,2020-05-26,50868,1718,840.0,2232,40,33.0
