NAME,Population,FIPS
"Autauga County, Alabama",55200,01001
"Baldwin County, Alabama",208107,01003
"Barbour County, Alabama",25782,01005
"Bibb County, Alabama",22527,01007
"Blount County, Alabama",57645,01009
"Bullock County, Alabama",10352,01011
"Butler County, Alabama",20025,01013
"Calhoun County, Alabama",115098,01015
"Chambers County, Alabama",33826,01017
"Cherokee County, Alabama",25853,01019
"Chilton County, Alabama",43930,01021
"Choctaw County, Alabama",13075,01023
"Clarke County, Alabama",24387,01025
"Clay County, Alabama",13378,01027
"Cleburne County, Alabama",14938,01029
"Coffee County, Alabama",51288,01031
"Colbert County, Alabama",54495,01033
"Conecuh County, Alabama",12514,01035
"Coosa County, Alabama",10855,01037
"Covington County, Alabama",37351,01039
"Crenshaw County, Alabama",13865,01041
"Cullman County, Alabama",82313,01043
"Dale County, Alabama",49255,01045
"Dallas County, Alabama",40029,01047
"DeKalb County, Alabama",71200,01049
"Elmore County, Alabama",81212,01051
"Escambia County, Alabama",37328,01053
"Etowah County, Alabama",102939,01055
"Fayette County, Alabama",16585,01057
"Franklin County, Alabama",31542,01059
"Geneva County, Alabama",26491,01061
"Greene County, Alabama",8426,01063
"Hale County, Alabama",14887,01065
"Henry County, Alabama",17124,01067
"Houston County, Alabama",104352,01069
"Jackson County, Alabama",52094,01071
"Jefferson County, Alabama",659892,01073
"Lamar County, Alabama",13933,01075
"Lauderdale County, Alabama",92585,01077
"Lawrence County, Alabama",33171,01079
"Lee County, Alabama",159287,01081
"Limestone County, Alabama",93052,01083
"Lowndes County, Alabama",10236,01085
"Macon County, Alabama",19054,01087
"Madison County, Alabama",357560,01089
"Marengo County, Alabama",19538,01091
"Marion County, Alabama",29965,01093
"Marshall County, Alabama",95145,01095
"Mobile County, Alabama",414659,01097
"Monroe County, Alabama",21512,01099
"Montgomery County, Alabama",226941,01101
"Morgan County, Alabama",119122,01103
"Perry County, Alabama",9486,01105
"Pickens County, Alabama",20298,01107
"Pike County, Alabama",33403,01109
"Randolph County, Alabama",22574,01111
"Russell County, Alabama",58213,01113
"St. Clair County, Alabama",87306,01115
"Shelby County, Alabama",211261,01117
"Sumter County, Alabama",12985,01119
"Talladega County, Alabama",80565,01121
"Tallapoosa County, Alabama",40636,01123
"Tuscaloosa County, Alabama",206213,01125
"Walker County, Alabama",64493,01127
"Washington County, Alabama",16643,01129
"Wilcox County, Alabama",10809,01131
"Winston County, Alabama",23875,01133
"Aleutians East Borough, Alaska",3425,02013
"Aleutians West Census Area, Alaska",5750,02016
"Anchorage Municipality, Alaska",296112,02020
